"No.","Time","Source","Destination","Protocol","Length","Info"
"63","0.458466","172.27.131.52","180.149.145.241","TLSv1.2","1456","Application Data"
"70","0.591776","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=2786 Ack=1844 Win=260 Len=0"
"71","0.613873","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=1 Ack=581 Win=256 Len=0"
"74","0.666428","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=1480 Ack=1329 Win=258 Len=0"
"76","0.686347","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=1402 Ack=1249 Win=256 Len=0"
"77","0.723513","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=2863 Ack=1219 Win=260 Len=0"
"78","0.760603","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=1402 Ack=1249 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"79","0.760606","172.27.131.52","180.149.145.241","TLSv1.2","94","Application Data"
"82","0.817613","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=1 Ack=581 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"83","0.817614","172.27.131.52","180.149.145.241","TLSv1.2","74","Application Data"
"84","0.826423","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=1480 Ack=1329 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"85","0.826426","172.27.131.52","180.149.145.241","TLSv1.2","93","Application Data"
"90","0.895818","172.27.131.52","180.149.145.241","TLSv1.2","1454","Application Data"
"91","0.896096","172.27.131.52","180.149.145.241","TLSv1.2","1455","Application Data"
"98","1.056255","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=4187 Ack=2436 Win=258 Len=0"
"100","1.058166","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=2971 Ack=2016 Win=255 Len=0"
"101","1.080284","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=4263 Ack=1816 Win=258 Len=0"
"102","1.089343","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=2894 Ack=1938 Win=260 Len=0"
"103","1.096339","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=1473 Ack=1237 Win=260 Len=0"
"104","1.122442","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=2894 Ack=1938 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"105","1.122447","172.27.131.52","180.149.145.241","TLSv1.2","87","Application Data"
"108","1.192469","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=1473 Ack=1237 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"109","1.192470","172.27.131.52","180.149.145.241","TLSv1.2","92","Application Data"
"116","1.314926","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=4379 Ack=2620 Win=258 Len=0"
"117","1.398273","172.27.131.52","180.149.145.241","TLSv1.2","1459","Application Data"
"118","1.404292","172.27.131.52","180.149.145.241","TLSv1.2","1456","Application Data"
"119","1.404687","172.27.131.52","180.149.145.241","TLSv1.2","1456","Application Data"
"127","1.494476","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=2963 Ack=1921 Win=258 Len=0"
"129","1.516227","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=5784 Ack=3233 Win=255 Len=0"
"130","1.528885","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=4373 Ack=2610 Win=260 Len=0"
"131","1.537720","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=5665 Ack=2431 Win=256 Len=0"
"132","1.561314","172.27.131.52","180.149.145.241","TLSv1.2","1444","Application Data"
"136","1.781988","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=2963 Ack=1921 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"137","1.781990","172.27.131.52","180.149.145.241","TLSv1.2","97","Application Data"
"138","1.782923","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=4373 Ack=2610 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"139","1.782927","172.27.131.52","180.149.145.241","TLSv1.2","88","Application Data"
"140","1.783762","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=5665 Ack=2431 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"141","1.783763","172.27.131.52","180.149.145.241","TLSv1.2","94","Application Data"
"147","1.833162","172.27.131.52","180.149.145.241","TLSv1.2","1438","Application Data"
"150","1.907824","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=7174 Ack=3832 Win=260 Len=0"
"152","1.944519","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=7174 Ack=3832 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"153","1.944520","172.27.131.52","180.149.145.241","TLSv1.2","82","Application Data"
"156","1.969326","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=5571 Ack=3035 Win=256 Len=0"
"157","1.978195","172.27.131.52","180.149.144.153","TCP","66","64200  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"159","1.986843","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=5859 Ack=3305 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"160","1.986845","172.27.131.52","180.149.145.241","TLSv1.2","82","Application Data"
"165","2.035173","172.27.131.52","180.149.144.153","TCP","54","64200  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"166","2.035546","172.27.131.52","180.149.144.153","TLSv1.2","338","Client Hello"
"167","2.047365","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=4458 Ack=2637 Win=255 Len=0"
"168","2.074521","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=7157 Ack=3140 Win=260 Len=0"
"174","2.095734","172.27.131.52","180.149.144.153","TCP","54","64200  >  443 [ACK] Seq=285 Ack=99 Win=66560 Len=0"
"175","2.096374","172.27.131.52","180.149.144.153","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"176","2.117841","172.27.131.52","140.206.78.24","TCP","54","63308  >  80 [ACK] Seq=1 Ack=17 Win=252 Len=0"
"177","2.128209","172.27.131.52","180.149.145.241","TLSv1.2","1446","Application Data"
"179","2.155499","172.27.131.52","180.149.144.153","TLSv1.2","1089","Application Data"
"181","2.160342","172.27.131.52","140.206.78.24","TCP","70","63308  >  80 [PSH, ACK] Seq=1 Ack=17 Win=252 Len=16"
"186","2.225557","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=8654 Ack=4484 Win=258 Len=0"
"187","2.234649","172.27.131.52","180.149.145.241","TLSv1.2","1430","Application Data"
"188","2.234925","172.27.131.52","180.149.145.241","TLSv1.2","1434","Application Data"
"195","2.325321","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=7339 Ack=3956 Win=255 Len=0"
"196","2.353320","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=10030 Ack=5057 Win=256 Len=0"
"197","2.355370","172.27.131.52","180.149.145.241","TLSv1.2","1434","Application Data"
"198","2.363277","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=7230 Ack=3804 Win=258 Len=0"
"204","2.408847","172.27.131.52","180.149.144.153","TCP","54","64200  >  443 [ACK] Seq=1371 Ack=992 Win=65792 Len=0"
"205","2.446916","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=7230 Ack=3804 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"206","2.446918","172.27.131.52","180.149.145.241","TLSv1.2","86","Application Data"
"208","2.472002","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=11410 Ack=5630 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"209","2.472003","172.27.131.52","180.149.145.241","TLSv1.2","74","Application Data"
"210","2.472342","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=7339 Ack=3956 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"211","2.472344","172.27.131.52","180.149.145.241","TLSv1.2","72","Application Data"
"217","2.598516","172.27.131.52","180.149.145.241","TLSv1.2","1424","Application Data"
"218","2.598860","172.27.131.52","180.149.145.241","TCP","1506","64182  >  443 [ACK] Seq=5571 Ack=3035 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"219","2.598861","172.27.131.52","180.149.145.241","TLSv1.2","72","Application Data"
"227","2.701002","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=8714 Ack=4479 Win=256 Len=0"
"228","2.728259","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=12882 Ack=6277 Win=258 Len=0"
"229","2.734191","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=8809 Ack=4608 Win=260 Len=0"
"230","2.734194","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=8527 Ack=3713 Win=258 Len=0"
"234","2.827899","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=7041 Ack=3693 Win=260 Len=0"
"235","2.856389","172.27.131.52","180.149.145.241","TLSv1.2","1438","Application Data"
"236","2.858704","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=8714 Ack=4479 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"237","2.858706","172.27.131.52","180.149.145.241","TLSv1.2","62","Application Data"
"242","2.972274","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=14266 Ack=6857 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"243","2.972275","172.27.131.52","180.149.145.241","TLSv1.2","88","Application Data"
"247","3.083065","172.27.131.52","180.149.145.241","TLSv1.2","1434","Application Data"
"248","3.083639","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=8809 Ack=4608 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"249","3.083640","172.27.131.52","180.149.145.241","TLSv1.2","83","Application Data"
"250","3.086071","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=8527 Ack=3713 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"251","3.086072","172.27.131.52","180.149.145.241","TLSv1.2","76","Application Data"
"256","3.130140","172.27.131.52","180.149.145.241","TLSv1.2","1443","Application Data"
"259","3.212825","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=11554 Ack=5709 Win=258 Len=0"
"264","3.269715","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=8430 Ack=4293 Win=258 Len=0"
"265","3.292634","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=11554 Ack=5709 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"266","3.292635","172.27.131.52","180.149.145.241","TLSv1.2","74","Application Data"
"267","3.292941","172.27.131.52","180.149.145.241","TCP","1506","64182  >  443 [ACK] Seq=8430 Ack=4293 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"268","3.292942","172.27.131.52","180.149.145.241","TLSv1.2","81","Application Data"
"276","3.347294","172.27.131.52","180.149.145.241","TCP","66","64203  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"279","3.370613","172.27.131.52","180.149.145.241","TCP","54","64203  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"280","3.370743","172.27.131.52","180.149.145.241","TLSv1.2","571","Client Hello"
"281","3.381932","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=15752 Ack=7507 Win=260 Len=0"
"282","3.384913","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=10001 Ack=4348 Win=256 Len=0"
"287","3.400975","172.27.131.52","180.149.145.241","TCP","54","64203  >  443 [ACK] Seq=518 Ack=138 Win=66560 Len=0"
"288","3.401107","172.27.131.52","180.149.145.241","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"290","3.405533","172.27.131.52","180.149.145.241","TLSv1.2","1437","Application Data"
"292","3.423032","172.27.131.52","180.149.145.241","TCP","66","64204  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"295","3.428869","172.27.131.52","180.149.145.241","TLSv1.2","730","Application Data"
"297","3.442692","172.27.131.52","180.149.145.241","TLSv1.2","1449","Application Data"
"299","3.447553","172.27.131.52","180.149.145.241","TCP","54","64204  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"300","3.447649","172.27.131.52","180.149.145.241","TLSv1.2","571","Client Hello"
"307","3.475234","172.27.131.52","180.149.145.241","TCP","54","64204  >  443 [ACK] Seq=518 Ack=138 Win=66560 Len=0"
"308","3.475763","172.27.131.52","180.149.145.241","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"309","3.490042","172.27.131.52","180.149.145.241","TLSv1.2","1450","Application Data"
"312","3.501332","172.27.131.52","180.149.145.241","TLSv1.2","730","Application Data"
"316","3.541856","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=17135 Ack=8082 Win=258 Len=0"
"319","3.569205","172.27.131.52","180.149.145.241","TLSv1.2","85","Encrypted Alert"
"320","3.579203","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=11685 Ack=5860 Win=256 Len=0"
"321","3.584024","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=13026 Ack=6357 Win=256 Len=0"
"326","3.597129","172.27.131.52","180.149.145.241","TCP","54","64203  >  443 [ACK] Seq=1276 Ack=792 Win=65792 Len=0"
"327","3.597246","172.27.131.52","180.149.145.241","TCP","54","64203  >  443 [FIN, ACK] Seq=1276 Ack=792 Win=65792 Len=0"
"328","3.607617","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=17135 Ack=8082 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"329","3.607618","172.27.131.52","180.149.145.241","TLSv1.2","75","Application Data"
"330","3.607906","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=13026 Ack=6357 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"331","3.607908","172.27.131.52","180.149.145.241","TLSv1.2","91","Application Data"
"334","3.627692","172.27.131.52","180.149.145.241","TLSv1.2","85","Encrypted Alert"
"337","3.632039","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=11397 Ack=4951 Win=260 Len=0"
"345","3.654059","172.27.131.52","180.149.145.241","TCP","54","64204  >  443 [ACK] Seq=1276 Ack=792 Win=65792 Len=0"
"346","3.654193","172.27.131.52","180.149.145.241","TCP","54","64204  >  443 [FIN, ACK] Seq=1276 Ack=792 Win=65792 Len=0"
"348","3.753564","172.27.131.52","180.149.145.241","TLSv1.2","1455","Application Data"
"349","3.753968","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=11397 Ack=4951 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"350","3.753969","172.27.131.52","180.149.145.241","TLSv1.2","94","Application Data"
"355","3.889300","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=13086 Ack=6452 Win=260 Len=0"
"356","3.905442","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=18608 Ack=8720 Win=256 Len=0"
"357","3.913182","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=18608 Ack=8720 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"358","3.913183","172.27.131.52","180.149.145.241","TLSv1.2","87","Application Data"
"361","3.960867","172.27.131.52","180.149.145.241","TCP","1506","[TCP Retransmission] 64177  >  443 [PSH, ACK] Seq=18641 Ack=8720 Win=256 Len=1452"
"364","3.980406","172.27.131.52","140.249.34.15","TCP","54","64196  >  443 [ACK] Seq=1 Ack=33 Win=257 Len=0"
"367","3.991122","172.27.131.52","140.249.34.15","TCP","54","[TCP Dup ACK 364#1] 64196  >  443 [ACK] Seq=1 Ack=33 Win=257 Len=0"
"368","3.997274","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=14515 Ack=7043 Win=260 Len=0"
"369","4.019686","172.27.131.52","180.149.145.241","TLSv1.2","1454","Application Data"
"371","4.065915","172.27.131.52","180.149.145.241","TLSv1.2","1459","Application Data"
"375","4.147348","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=15915 Ack=7636 Win=258 Len=0"
"377","4.165252","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=20093 Ack=9422 Win=260 Len=0"
"378","4.176917","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=20093 Ack=9422 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"379","4.176918","172.27.131.52","180.149.145.241","TLSv1.2","92","Application Data"
"380","4.199302","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=14491 Ack=7049 Win=258 Len=0"
"385","4.265673","172.27.131.52","180.149.145.241","TLSv1.2","1456","Application Data"
"386","4.265923","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=14491 Ack=7049 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"387","4.265924","172.27.131.52","180.149.145.241","TLSv1.2","97","Application Data"
"388","4.288535","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=12889 Ack=5640 Win=258 Len=0"
"394","4.381231","172.27.131.52","180.149.145.241","TLSv1.2","1456","Application Data"
"396","4.404236","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=17317 Ack=8246 Win=256 Len=0"
"398","4.435799","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=9909 Ack=4952 Win=255 Len=0"
"402","4.484403","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=22985 Ack=10709 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"403","4.484405","172.27.131.52","180.149.145.241","TLSv1.2","94","Application Data"
"404","4.490781","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=15986 Ack=7753 Win=255 Len=0"
"407","4.581474","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=17317 Ack=8246 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"408","4.581475","172.27.131.52","180.149.145.241","TLSv1.2","88","Application Data"
"409","4.581971","172.27.131.52","180.149.145.241","TLSv1.2","1438","Application Data"
"414","4.677702","172.27.131.52","180.149.145.241","TLSv1.2","1448","Application Data"
"415","4.678677","172.27.131.52","180.149.145.241","TLSv1.2","1442","Application Data"
"419","4.740414","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=17370 Ack=8352 Win=260 Len=0"
"424","4.812700","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=14277 Ack=6227 Win=255 Len=0"
"425","4.834451","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=25871 Ack=11995 Win=258 Len=0"
"426","4.847612","172.27.131.52","180.149.145.241","TLSv1.2","1430","Application Data"
"427","4.851451","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=18803 Ack=8935 Win=260 Len=0"
"429","4.943578","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=18803 Ack=8935 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"430","4.943579","172.27.131.52","180.149.145.241","TLSv1.2","82","Application Data"
"431","4.944214","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=17370 Ack=8352 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"432","4.944216","172.27.131.52","180.149.145.241","TLSv1.2","74","Application Data"
"433","4.944666","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=14277 Ack=6227 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"434","4.944666","172.27.131.52","180.149.145.241","TLSv1.2","80","Application Data"
"442","4.996254","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=27247 Ack=12569 Win=256 Len=0"
"443","5.066574","172.27.131.52","180.149.145.241","TLSv1.2","1440","Application Data"
"444","5.066887","172.27.131.52","180.149.145.241","TCP","1506","64182  >  443 [ACK] Seq=9909 Ack=4952 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"445","5.066887","172.27.131.52","180.149.145.241","TLSv1.2","74","Application Data"
"450","5.151322","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=18842 Ack=9003 Win=258 Len=0"
"453","5.192051","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=20283 Ack=9607 Win=258 Len=0"
"454","5.194066","172.27.131.52","180.149.145.241","TLSv1.2","1430","Application Data"
"456","5.223619","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=20283 Ack=9607 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"457","5.223622","172.27.131.52","180.149.145.241","TLSv1.2","78","Application Data"
"461","5.271924","172.27.131.52","180.149.145.241","TLSv1.2","1438","Application Data"
"465","5.355551","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=11381 Ack=5592 Win=260 Len=0"
"467","5.396951","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=31393 Ack=14307 Win=256 Len=0"
"468","5.419387","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=31393 Ack=14307 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"469","5.419388","172.27.131.52","180.149.145.241","TLSv1.2","68","Application Data"
"471","5.422782","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=21759 Ack=10247 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"472","5.422783","172.27.131.52","180.149.145.241","TLSv1.2","76","Application Data"
"477","5.472455","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=18842 Ack=9003 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"478","5.472456","172.27.131.52","180.149.145.241","TLSv1.2","89","Application Data"
"481","5.521880","172.27.131.52","180.149.145.241","TCP","1506","64182  >  443 [ACK] Seq=11381 Ack=5592 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"482","5.521885","172.27.131.52","180.149.145.241","TLSv1.2","88","Application Data"
"487","5.660252","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=32859 Ack=14925 Win=260 Len=0"
"488","5.671737","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=15755 Ack=6902 Win=260 Len=0"
"489","5.755018","172.27.131.52","180.149.145.241","TLSv1.2","1445","Application Data"
"491","5.815603","172.27.131.52","180.149.145.241","TLSv1.2","1450","Application Data"
"494","5.880176","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=34250 Ack=15506 Win=258 Len=0"
"498","5.937359","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=17151 Ack=7499 Win=258 Len=0"
"499","5.956276","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=20329 Ack=9657 Win=255 Len=0"
"500","5.957285","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=12867 Ack=6258 Win=258 Len=0"
"501","6.013901","172.27.131.52","180.149.145.241","TCP","66","64205  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"502","6.017118","172.27.131.52","180.149.145.241","TCP","66","64206  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
